NOLA,year,run,win,M_raw,M,C,incumb_ran,unopposed,city_type,city_council
0,2002,1,0,-33.75096893310547,16.24903106689453,55.24809646606445,1,0,Urban,Mixed
0,2006,1,0,-22.216463088989258,27.783536911010742,56.249656677246094,0,0,Urban,Mixed
0,2010,1,0,-37.84457015991211,12.15542984008789,57.251220703125,1,0,Urban,Mixed
0,2014,1,0,-20.41164779663086,29.58835220336914,57.251220703125,1,0,Urban,Mixed
0,1992,1,0,-8.712923049926758,41.28707695007324,47.94758987426758,1,0,Rural,District
0,1996,1,0,-26.881467819213867,23.118532180786133,49.88620376586914,1,0,Rural,District
0,2000,1,0,-23.366283416748047,26.633716583251953,51.8248176574707,1,0,Rural,District
0,2004,1,0,-25.876981735229492,24.123018264770508,52.89638900756836,1,1,Rural,District
0,2008,0,0,-50,0,53.96795654296875,1,0,Rural,District
0,2012,1,0,-29.341318130493164,20.658681869506836,53.96795654296875,0,0,Rural,District
0,1992,0,0,-34.68468475341797,15.315315246582031,0.02309468761086464,0,0,Rural,AtLarge
0,1996,0,0,-29.310344696044922,20.689655303955078,0.06928406655788422,1,1,Rural,AtLarge
0,2000,0,0,-50,0,0.1154734417796135,1,0,Rural,AtLarge
0,2004,0,0,-25.810474395751953,24.189525604248047,0.805762767791748,1,1,Rural,AtLarge
0,2008,0,0,-50,0,1.4960521459579468,1,1,Rural,AtLarge
0,2012,0,0,-50,0,1.4960521459579468,0,0,Rural,AtLarge
0,1992,0,0,-50,0,9.627659797668457,1,1,Rural,AtLarge
0,1996,0,0,-50,0,13.56382942199707,0,1,Rural,AtLarge
0,2000,0,0,-50,0,17.5,1,1,Rural,AtLarge
0,2004,0,0,-50,0,20.858566284179688,1,1,Rural,AtLarge
0,2008,0,0,-50,0,24.217130661010742,1,1,Rural,AtLarge
0,2012,0,0,-50,0,24.217130661010742,1,1,Rural,AtLarge
0,1990,0,0,-27.901233673095703,22.098766326904297,52.80935287475586,1,0,Rural,District
0,1994,0,0,-27.51592445373535,22.48407554626465,55.914485931396484,1,0,Rural,District
0,1998,0,0,-28.647686004638672,21.352313995361328,59.019615173339844,1,0,Rural,District
0,2002,0,0,-31.467660903930664,18.532339096069336,61.44164276123047,1,0,Rural,District
0,2006,0,0,-26.611635208129883,23.388364791870117,63.18056869506836,1,0,Rural,District
0,2010,0,0,-28.622861862182617,21.377138137817383,64.91949462890625,1,0,Rural,District
0,2014,1,0,-38.77854919433594,11.221450805664063,64.91949462890625,1,0,Rural,District
0,1994,0,0,-31.622745513916016,18.377254486083984,10.482980728149414,1,0,Suburban,AtLarge
0,1998,0,0,-32.43045425415039,17.56954574584961,10.6474027633667,1,0,Suburban,AtLarge
0,2002,0,0,-28.624813079833984,21.375186920166016,10.173094749450684,1,0,Suburban,AtLarge
0,2006,0,0,-32.11382293701172,17.88617706298828,9.060057640075684,1,0,Suburban,AtLarge
0,2010,0,0,-25.724637985229492,24.275362014770508,7.947020053863525,1,1,Suburban,AtLarge
0,2014,0,0,-50,0,7.947020053863525,1,0,Suburban,AtLarge
0,1994,0,0,-50,0,12.635822296142578,0,0,Rural,AtLarge
0,1998,0,0,-28.632478713989258,21.367521286010742,11.084793090820313,0,1,Rural,AtLarge
0,2002,0,0,-50,0,11.593147277832031,1,1,Rural,AtLarge
0,2006,0,0,-50,0,14.16088581085205,1,1,Rural,AtLarge
0,2010,0,0,-50,0,16.72862434387207,1,1,Rural,AtLarge
0,2014,0,0,-50,0,16.72862434387207,1,1,Rural,AtLarge
0,1994,0,0,-50,0,21.92047882080078,1,0,Rural,AtLarge
0,1998,0,0,-27.241378784179687,22.758621215820313,23.337360382080078,1,0,Rural,AtLarge
0,2000,0,0,-26.136363983154297,23.863636016845703,24.045801162719727,0,0,Rural,AtLarge
0,2002,0,0,-30.188678741455078,19.811321258544922,23.654312133789063,1,1,Rural,AtLarge
