republican	totcont	select	senior	vote90	freshman	give	distance
1	0	0	4	68	0	0	1.703025
1	0	0	20	59	0	0	1.684804
1	0	0	14	59	0	0	1.684804
1	0	0	4	70	0	0	1.6641
1	0	0	26	58	0	0	1.6641
1	0	0	12	61	0	0	1.635841
1	0	0	12	99	0	0	1.630729
1	0	0	16	61	0	0	1.5876
1	0	0	4	63	0	0	1.572516
1	0	0	12	76	0	0	1.567504
1	0	0	5	75	0	0	1.565001
1	0	0	30	99	0	0	1.517824
1	0	0	10	74	0	0	1.507984
1	0	0	6	70	0	0	1.507984
1	0	0	6	66	0	0	1.476225
1	0	0	4	55	0	0	1.4641
1	0	0	12	63	0	0	1.437601
1	0	0	14	51	0	0	1.397124
0	0	0	12	99	0	0	1.279161
1	500	1	10	84	0	1	1.272384
1	0	0	6	74	0	0	1.21
0	0	0	14	52	0	0	1.1664
1	375	1	20	69	0	1	1.134225
0	0	0	14	99	0	0	1.100401
0	0	0	3	81	0	0	1.100401
1	0	0	14	61	0	0	1.046529
0	0	0	12	88	0	0	1.044484
0	0	0	10	63	0	0	1.0201
0	0	0	4	81	0	0	.9980011
0	1300	1	2	58	1	1	.9801001
0	0	0	3	71	0	0	.9761441
0	0	0	26	99	0	0	.9662891
0	1100	1	3	66	0	1	.9643241
0	0	0	16	74	0	0	.9604001
0	0	0	16	74	0	0	.9604001
0	0	0	10	78	0	0	.9545291
0	0	0	6	58	0	0	.9486761
0	0	0	18	80	0	0	.9273691
0	0	0	10	75	0	0	.9139361
0	5000	1	10	93	0	1	.9063041
0	0	0	6	61	0	0	.8968091
0	2500	1	18	53	0	1	.8817211
0	500	1	16	62	0	1	.8760961
0	1000	1	4	57	0	1	.8742251
0	0	0	18	66	0	0	.8723561
0	0	0	16	63	0	0	.8667611
0	0	0	4	54	0	0	.8136041
0	0	0	10	78	0	0	.8136041
0	500	1	2	51	1	1	.8064041
0	0	0	10	69	0	0	.8010251
0	0	0	6	75	0	0	.8010251
0	500	1	4	99	0	1	.7921001
0	0	0	4	99	0	0	.7832251
0	1500	1	16	57	0	1	.7796891
0	500	1	16	74	0	1	.7708841
0	500	1	2	67	1	1	.7586411
0	0	0	2	80	1	0	.7464961
0	0	0	6	59	0	0	.7464961
0	6500	1	2	53	1	1	.7378811
0	350	1	3	74	0	1	.7361641
0	500	1	10	63	0	1	.7344491
0	4500	1	20	56	0	1	.7293161
0	0	0	12	74	0	0	.725904
0	0	0	10	99	0	0	.725904
0	7350	1	4	49	0	1	.7225001
0	0	0	10	67	0	0	.7208011
0	500	1	18	59	0	1	.7140251
0	5500	1	10	66	0	1	.7106491
0	0	0	16	71	0	0	.6938891
0	500	1	2	53	1	1	.6922241
0	0	0	26	99	0	0	.6674891
0	600	1	28	69	0	1	.6658561
0	0	0	4	84	0	0	.6544811
0	0	0	7	61	0	0	.6512491
0	0	0	4	66	0	0	.6496361
0	2000	1	6	61	0	1	.6480251
0	1000	1	4	72	0	1	.6432041
0	1000	1	2	54	1	1	.6416011
0	3000	1	6	59	0	1	.6352091
0	3000	1	6	59	0	1	.6352091
0	0	0	10	99	0	0	.6304361
0	1000	1	10	99	0	1	.625681
0	0	0	9	60	0	0	.6241001
0	1000	1	6	68	0	1	.6177961
0	500	1	18	88	0	1	.611524
0	625	1	2	55	1	1	.6084
0	0	0	29	65	0	0	.5990761
0	1000	1	2	54	1	1	.5944411
0	850	1	2	57	1	1	.585225
0	0	0	10	99	0	0	.5821691
