id,income,education,gender,age,union,height,weight,surveydate
155,0,6,female,24,no,158,100,9/13/15
156,120000,7,female,59,no,165,120,10/1/15
157,80000,13,female,29,no,162,104,9/28/15
158,50000,4,male,34,no,170,130,10/6/15
159,50000,10,male,28,no,175,160,9/19/15
160,25000,4,male,52,no,175,140,10/5/15
161,45000,9,female,55,yes,166,130,9/26/15
162,30000,3,female,82,no,158,120,9/27/15
163,1.00E+06,12,female,34,no,160,108,10/25/15
164,42000,4,female,73,yes,153,100,10/1/15
165,0,12,female,22,no,160,100,9/1/15
166,1.00E+05,6,female,32,no,160,110,10/2/15
167,5000,4,female,27,no,168,110,10/5/15
168,50000,11,male,33,yes,178,160,9/20/15
169,1.00E+05,12,female,24,no,159,112,9/1/15
170,70000,10,male,33,no,175,164,9/12/15
171,0,3,female,81,used to be,157,120,10/4/15
172,20000,4,female,46,yes,150,100,8/29/15
173,0,3,female,56,no,152,112,8/29/15
174,1.00E+05,12,male,31,yes,180,155,9/27/15
175,50000,7,male,73,used to be,175,136,10/4/15
176,1.00E+05,10,female,42,no,150,88,10/2/15
177,70000,6,female,26,no,162,116,9/26/15
178,350000,12,male,33,yes,168,160,9/26/15
179,21600,1,female,80,no,155,110,10/3/15
180,6000,12,male,22,no,173,110,10/4/15
181,24000,6,male,55,yes,175,185,10/4/15
182,50000,9,male,38,no,170,155,10/3/15
183,240000,12,male,25,no,182,150,10/4/15
184,1.00E+05,6,female,43,no,155,122,10/3/15
185,30000,11,female,43,yes,168,100,10/17/15
186,40000,10,male,23,no,183,135,10/3/15
187,80000,12,female,28,yes,160,160,10/17/15
188,40000,10,female,26,no,164,112,10/6/15
189,55000,6,male,59,yes,162,124,9/28/15
190,60000,7,female,32,no,160,160,9/12/15
191,34632,6,female,70,no,158,130,10/17/15
192,0,5,female,48,no,162,100,10/2/15
193,90000,4,male,55,used to be,178,140,10/1/15
194,58800,4,male,63,yes,166,145,9/26/15
195,48000,6,male,53,yes,176,140,10/2/15
196,30000,4,male,57,no,172,120,8/29/15
197,30000,6,female,52,used to be,158,150,9/20/15
198,50000,12,female,32,yes,168,90,10/1/15
199,3.00E+05,4,male,38,no,173,140,10/1/15
200,20000,4,female,63,used to be,163,140,10/1/15
201,84000,12,male,51,no,168,136,10/2/15
202,80000,4,male,34,no,165,140,10/5/15
203,44400,4,female,80,used to be,156,120,9/19/15
204,150000,13,female,31,yes,155,80,10/1/15
205,0,3,female,53,no,160,136,8/29/15
206,60000,10,male,54,no,170,120,10/18/15
207,2.00E+05,10,female,45,no,165,130,10/2/15
208,45000,4,male,50,yes,170,160,10/6/15
209,0,3,male,59,no,170,128,10/18/15
210,40000,12,female,30,used to be,170,110,9/29/15
211,40000,9,male,46,yes,170,124,9/6/15
212,0,7,female,30,no,159,90,9/7/15
213,70000,12,female,62,used to be,156,120,10/5/15
214,30000,6,male,22,no,167,100,10/7/15
215,0,4,male,43,yes,167,170,9/1/15
216,20400,6,female,52,no,168,140,10/3/15
217,360000,7,female,27,no,162,100,10/1/15
218,30000,6,male,53,yes,165,150,10/4/15
219,21600,4,male,66,no,170,150,9/1/15
220,35000,4,female,63,no,150,130,10/4/15
221,48000,4,male,66,used to be,170,140,10/23/15
222,35000,4,male,66,used to be,176,150,9/18/15
223,40000,4,male,35,no,170,130,9/1/15
224,36000,7,female,66,used to be,155,125,9/23/15
225,15000,4,female,48,no,165,200,8/30/15
226,80000,12,male,49,no,171,154,10/4/15
227,60000,4,male,22,no,179,160,8/30/15
228,20000,1,male,48,no,170,160,8/29/15
229,1.00E+05,12,female,28,no,166,105,9/24/15
230,150000,12,male,35,no,182,168,9/18/15
231,4.00E+05,12,male,33,no,178,146,10/4/15
232,60000,9,male,68,yes,162,120,10/18/15
233,30000,4,female,66,used to be,159,106,9/28/15
234,30000,6,female,60,used to be,161,135,10/7/15
235,30000,4,male,28,no,177,200,8/30/15
236,1.00E+05,12,female,52,yes,160,120,9/26/15
237,80000,7,male,33,no,165,110,10/6/15
238,23000,3,male,51,no,165,120,10/5/15
239,32400,11,female,64,yes,155,120,10/4/15
240,190000,13,male,35,no,170,170,10/3/15
241,26000,4,female,64,used to be,151,92,10/24/15
242,120000,10,male,30,no,183,160,10/1/15
243,3680,3,female,88,no,140,82,10/1/15
244,1.00E+05,12,male,47,yes,174,152,10/24/15
245,50000,10,female,29,no,155,90,10/18/15
246,30000,4,female,61,used to be,163,134,10/17/15
247,50000,12,female,39,yes,170,135,9/15/15
248,250000,12,male,33,yes,173,160,10/17/15
249,60000,12,male,37,yes,173,90,10/3/15
250,0,11,female,33,no,173,118,9/29/15
251,84000,12,female,30,no,157,96,10/17/15
252,30000,6,male,28,no,172,165,10/1/15
253,2.00E+05,12,female,31,no,162,110,10/5/15
254,55000,12,female,25,yes,163,100,9/14/15
255,1.00E+05,11,female,41,no,162,140,10/5/15
256,30000,6,female,66,used to be,160,120,10/3/15
257,24000,4,female,51,no,158,130,10/4/15
258,80000,9,male,27,no,170,125,10/17/15
259,4.00E+05,4,female,76,used to be,158,112,9/30/15
260,42000,1,female,81,used to be,156,140,10/4/15
261,3.00E+05,13,male,30,no,170,120,10/4/15
262,12000,4,female,39,no,158,130,10/5/15
263,40000,3,male,77,used to be,172,162,10/6/15
264,40000,10,male,34,no,172,140,10/2/15
265,150000,12,male,37,no,174,140,9/25/15
266,35000,6,female,59,used to be,168,148,10/4/15
267,50000,3,male,29,no,170,150,8/31/15
268,50000,6,male,35,no,170,140,10/18/15
269,70000,12,female,32,no,160,104,10/4/15
270,60000,7,female,69,used to be,153,104,10/4/15
