id,income,education,gender,age,union,height,weight,surveydate
1083,2000,12,male,21,no,178,135,7/22/15
1084,1500,3,female,63,no,160,110,7/17/15
1085,0,6,male,28,no,170,150,7/21/15
1086,24000,4,female,58,no,167,142,7/23/15
1087,27000,11,female,31,no,160,105,7/19/15
1088,32000,5,female,64,used to be,159,100,7/23/15
1089,30000,13,male,27,no,180,130,7/21/15
1090,45000,12,male,43,yes,168,120,7/20/15
1091,40000,4,male,22,no,175,160,7/18/15
1092,60000,12,male,31,no,180,150,7/17/15
1093,5200,12,female,21,no,165,100,7/18/15
1094,0,3,female,69,no,157,120,7/19/15
1095,25000,3,male,67,yes,167,120,7/17/15
1096,14000,6,male,60,no,179,130,7/20/15
1097,0,12,female,18,no,165,120,7/16/15
1098,18000,6,male,24,no,175,150,7/17/15
1099,0,10,female,30,no,156,120,7/20/15
1100,20000,6,male,54,no,176,150,7/20/15
1101,30000,4,male,43,no,175,150,7/17/15
1102,0,11,female,22,no,175,140,7/23/15
1103,6960,3,male,70,no,158,96,7/15/15
1104,0,6,male,57,used to be,175,160,7/15/15
1105,20000,2,male,80,no,165,140,7/16/15
1106,30000,8,male,75,used to be,165,120,7/18/15
1107,40000,4,male,51,no,172,120,7/19/15
1108,3000,3,male,69,no,168,130,7/23/15
1109,30000,11,male,46,no,170,130,7/16/15
1110,0,4,male,48,no,168,180,7/18/15
1111,40000,4,female,24,no,158,120,7/23/15
1112,20000,3,female,41,no,159,109,7/23/15
1113,36000,10,female,61,no,160,140,7/22/15
1114,5200,12,male,22,no,180,140,7/21/15
1115,0,4,female,19,no,160,100,7/20/15
1116,0,6,female,52,no,165,120,7/20/15
1117,12000,3,male,29,no,170,160,7/18/15
1118,20000,4,male,42,no,170,130,7/20/15
1119,600,3,female,62,no,160,110,7/16/15
1120,18000,4,female,34,no,168,120,7/17/15
1121,60000,12,male,30,yes,178,130,7/21/15
1122,60000,4,male,29,no,175,140,7/16/15
1123,36000,10,male,75,no,170,110,7/20/15
1124,0,4,female,75,no,150,90,7/22/15
1125,10000,4,male,54,used to be,180,160,7/22/15
1126,36000,7,female,30,no,165,100,7/20/15
1127,30000,4,female,34,no,158,92,7/17/15
1128,0,4,female,48,no,156,140,7/17/15
1129,6000,3,female,52,no,160,134,7/20/15
1130,60000,12,male,25,no,178,130,7/19/15
1131,24000,4,male,68,used to be,170,145,7/22/15
1132,6000,3,female,43,no,165,130,7/17/15
1133,50000,4,male,30,no,175,160,7/17/15
1134,2.00E+05,13,male,30,yes,172,120,7/17/15
1135,50000,3,female,40,no,163,130,7/16/15
1136,5000,3,female,62,no,156,96,7/17/15
1137,30000,6,male,38,no,165,150,7/22/15
1138,40000,6,male,54,no,175,120,7/19/15
1139,10000,4,male,68,no,170,120,7/21/15
1140,1.00E+05,4,male,36,no,170,160,7/16/15
1141,5000,1,female,64,no,165,120,7/17/15
1142,30000,4,female,50,no,160,140,7/22/15
1143,30000,4,female,52,no,158,106,7/20/15
1144,3000,12,female,22,no,167,120,7/19/15
1145,50000,12,male,42,yes,175,150,7/19/15
1146,0,1,female,49,no,160,100,7/19/15
1147,10000,6,male,49,no,174,135,7/17/15
1148,20000,6,male,25,no,180,77,7/18/15
1149,50000,11,male,44,yes,175,162,7/18/15
1150,24000,3,female,77,yes,160,130,7/20/15
1151,12000,4,male,26,no,175,160,7/17/15
1152,30000,6,female,53,used to be,150,102,7/15/15
1153,36000,10,female,34,yes,168,110,7/23/15
1154,20000,1,female,60,no,155,100,7/19/15
1155,20000,4,male,53,no,174,140,7/22/15
1156,60000,4,female,31,no,165,120,7/18/15
1157,24000,4,female,33,no,150,130,7/17/15
1158,10000,6,male,50,no,175,160,7/16/15
1159,3450,4,male,57,no,170,150,7/19/15
1160,50000,9,male,65,no,175,160,7/15/15
1161,25000,11,female,35,no,164,120,7/19/15
1162,36000,4,male,66,yes,172,150,7/17/15
1163,4000,3,male,65,no,170,150,7/16/15
1164,0,13,female,26,no,165,110,7/22/15
1165,2000,4,female,51,no,150,80,7/19/15
1166,25000,4,male,43,used to be,171,150,7/23/15
1167,80000,11,male,49,no,172,138,7/22/15
1168,24000,4,male,25,no,170,110,7/20/15
1169,1000,12,male,23,no,180,150,7/22/15
1170,0,4,female,45,no,160,130,7/19/15
1171,1.00E+05,13,female,33,no,168,108,7/17/15
1172,0,6,male,18,no,170,140,7/16/15
1173,20400,3,male,58,no,178,160,7/15/15
1174,30000,11,male,48,no,170,130,7/16/15
1175,10000,6,female,45,no,167,135,7/23/15
1176,70000,1,male,35,no,180,120,7/23/15
1177,12000,4,female,41,no,160,100,7/16/15
1178,25000,4,male,63,no,170,130,7/15/15
1179,24000,10,female,27,no,164,120,7/21/15
1180,50000,10,female,38,no,161,135,7/19/15
1181,80000,10,male,45,no,178,130,7/21/15
1182,50000,12,female,31,yes,160,110,7/16/15
1183,20000,3,female,62,no,158,110,7/18/15
1184,0,4,female,39,no,161,120,7/16/15
1185,20000,4,female,38,no,166,140,7/22/15
1186,30000,3,male,61,no,180,160,7/19/15
1187,30000,12,male,24,no,180,140,7/19/15
1188,8000,1,male,66,no,170,152,7/17/15
1189,0,10,female,60,no,155,100,7/18/15
1190,24000,4,male,58,yes,175,140,7/22/15
1191,0,4,female,35,no,155,120,7/22/15
1192,0,6,female,27,no,165,138,7/22/15
1193,20000,3,male,76,yes,162,120,7/15/15
1194,10000,10,male,23,no,178,140,7/15/15
1195,0,3,female,57,no,156,115,7/19/15
1196,30000,10,female,65,no,162,120,7/23/15
1197,20000,10,male,23,no,174,190,7/23/15
1198,20000,7,female,24,no,168,120,7/15/15
1199,0,4,female,70,no,165,130,7/21/15
1200,0,4,female,48,no,172,165,7/19/15
1201,3000,1,female,52,no,160,110,7/21/15
1202,0,3,female,56,no,150,130,7/19/15
1203,30000,12,male,30,yes,178,128,7/18/15
1204,1800,12,male,19,no,178,145,7/23/15
1205,20000,4,male,68,yes,165,130,7/16/15
1206,30000,11,female,41,yes,161,126,7/15/15
1207,600,1,female,82,no,160,90,7/16/15
1208,4.00E+05,12,female,29,no,160,100,7/17/15
1209,0,3,female,47,no,160,112,7/22/15
1210,40000,7,female,58,used to be,160,120,7/16/15
1211,30000,3,male,43,no,170,124,7/15/15
1212,40000,4,female,40,no,167,120,7/18/15
1213,13000,4,female,71,yes,168,126,7/16/15
1214,4000,3,male,77,no,173,120,7/15/15
1215,2000,12,female,20,no,160,96,7/16/15
1216,0,12,male,20,no,175,130,7/16/15
1217,0,6,female,69,no,158,110,7/19/15
1218,20000,3,female,55,no,160,120,7/21/15
1219,8000,4,female,29,no,160,150,7/17/15
1220,20000,4,female,50,no,160,110,7/16/15
1221,20000,10,female,28,no,165,98,7/18/15
1222,1500,12,male,22,no,179,130,7/21/15
1223,20000,4,female,39,no,155,120,7/20/15
1224,1.00E+05,4,male,45,no,170,150,7/17/15
1225,2000,12,male,22,no,182,145,7/20/15
1226,0,4,female,69,no,155,120,7/23/15
1227,0,3,female,37,no,160,130,7/22/15
1228,2000,1,female,72,no,160,110,7/19/15
1229,30000,12,male,32,no,178,145,7/20/15
1230,20000,4,female,33,no,160,110,7/22/15
1231,15000,3,male,60,no,165,119,7/17/15
1232,20000,6,female,43,no,159,120,7/21/15
1233,24000,7,female,30,no,163,98,7/22/15
1234,6000,3,female,46,no,158,100,7/20/15
1235,0,3,male,60,no,170,120,7/22/15
1236,20000,4,male,46,yes,165,110,7/20/15
1237,0,4,female,72,no,162,98,7/19/15
1238,70000,12,male,85,yes,175,150,7/17/15
1239,7000,4,female,36,no,158,125,7/22/15
1240,10000,4,male,35,no,170,140,7/22/15
1241,0,6,male,18,no,176,150,7/16/15
1242,0,6,female,24,no,160,104,7/22/15
1243,150000,12,male,50,yes,178,150,7/20/15
1244,30000,6,male,59,no,170,120,7/22/15
1245,40000,6,male,44,yes,178,170,7/18/15
1246,20000,4,female,66,no,156,118,7/22/15
1247,2000,3,male,38,no,160,110,7/19/15
1248,9600,4,female,37,no,167,100,7/15/15
1249,0,12,male,22,no,176,130,7/20/15
1250,0,12,female,21,no,163,100,7/18/15
1251,24000,4,female,44,no,155,110,7/20/15
1252,2.00E+05,10,male,31,no,178,120,7/17/15
1253,25000,3,female,58,no,163,130,7/22/15
1254,20000,4,female,45,no,165,146,7/18/15
1255,30000,3,male,75,used to be,169,120,7/22/15
1256,0,1,female,52,no,163,140,7/21/15
1257,20000,4,male,33,no,168,120,7/22/15
1258,48000,10,male,35,no,175,140,7/22/15
1259,50000,4,male,33,no,175,116,7/18/15
1260,50000,9,male,53,yes,185,165,7/18/15
1261,30000,4,male,51,yes,180,150,7/19/15
1262,35000,4,male,75,yes,174,155,7/20/15
1263,12000,1,female,80,used to be,160,120,7/22/15
1264,0,3,male,61,no,172,140,7/23/15
1265,150000,6,male,52,no,178,162,7/16/15
1266,39000,7,female,67,used to be,162,158,7/20/15
1267,40000,12,female,25,no,166,100,7/21/15
1268,0,6,male,51,used to be,175,150,7/16/15
1269,30000,6,male,25,no,174,126,7/23/15
1270,20000,4,male,24,no,170,100,7/21/15
1271,0,11,female,26,no,153,80,7/23/15
1272,70000,12,female,35,no,166,100,7/21/15
1273,0,1,female,57,no,160,130,7/21/15
1274,60000,4,male,44,no,178,159,7/16/15
1275,20000,6,female,39,no,166,120,7/23/15
1276,0,3,male,27,no,178,130,7/19/15
1277,9600,5,female,26,no,155,95,7/22/15
1278,20000,4,male,36,no,160,110,7/16/15
1279,20000,6,female,29,no,163,120,7/23/15
1280,0,4,female,31,no,163,130,7/16/15
1281,48000,12,female,67,yes,165,120,7/20/15
1282,50000,12,female,47,yes,164,130,7/20/15
1283,40000,11,male,51,yes,170,180,7/18/15
1284,10000,12,female,40,no,167,120,7/23/15
1285,20000,4,male,23,no,175,150,7/19/15
1286,20000,6,male,58,no,170,130,7/19/15
1287,20000,3,female,44,no,168,110,7/22/15
1288,20000,2,female,79,no,160,100,7/22/15
1289,10000,6,male,35,no,178,170,7/21/15
1290,12000,1,male,49,no,170,120,7/21/15
1291,25000,6,male,22,no,176,162,7/21/15
1292,30000,12,male,28,yes,175,140,7/18/15
1293,10000,6,male,19,no,170,115,7/21/15
1294,20000,4,male,55,no,176,140,7/21/15
1295,0,4,female,23,no,167,120,7/16/15
1296,8000,3,male,70,no,172,120,7/22/15
1297,0,3,female,53,no,160,112,7/21/15
1298,0,6,female,45,no,163,130,7/21/15
1299,30000,12,male,45,yes,178,140,7/21/15
1300,0,12,male,20,no,169,130,7/20/15
1301,5000,4,female,70,no,159,110,7/16/15
1302,30000,4,female,39,no,166,135,7/17/15
1303,5000,3,female,24,no,168,125,7/18/15
1304,20000,3,female,79,used to be,158,90,7/19/15
1305,0,6,female,18,no,170,98,7/18/15
1306,30000,6,male,50,yes,170,150,7/21/15
1307,30000,4,male,31,no,170,160,7/16/15
1308,30000,6,male,48,no,170,150,7/18/15
1309,0,4,female,49,no,162,160,7/19/15
1310,50000,3,male,48,no,172,150,7/20/15
1311,780,3,female,70,no,160,105,7/22/15
1312,15000,6,male,34,no,180,160,7/16/15
1313,30000,6,male,67,no,175,130,7/21/15
1314,3000,3,female,56,no,160,130,7/22/15
1315,50000,3,female,49,no,160,140,7/15/15
1316,0,1,female,66,no,157,87,7/18/15
1317,18000,4,male,52,no,178,150,7/22/15
1318,27000,4,male,54,no,172,140,7/16/15
1319,40000,11,female,25,no,166,113,7/22/15
1320,0,3,female,60,no,155,140,7/18/15
1321,13000,4,female,47,no,160,130,7/18/15
1322,0,4,female,36,no,156,98,7/17/15
1323,0,4,female,35,no,162,110,7/19/15
1324,4000,3,female,63,no,155,130,9/26/15
1325,3000,7,female,27,no,163,180,9/23/15
1326,10000,6,female,44,no,167,120,9/23/15
1327,4000,3,male,85,no,150,110,9/25/15
1328,75000,4,male,35,no,170,140,9/23/15
1329,600,1,female,77,no,156,107,9/24/15
1330,30000,4,female,59,no,165,130,9/23/15
1331,4000,1,male,85,no,150,120,9/25/15
1332,20000,4,female,45,no,165,130,9/24/15
1333,0,3,female,58,no,162,94,9/26/15
1334,0,10,male,22,no,175,150,9/26/15
1335,0,3,female,44,no,160,170,9/26/15
1336,7000,4,female,56,no,160,97,9/25/15
1337,24000,6,female,54,no,163,135,9/23/15
1338,3000,3,female,63,no,150,101,9/25/15
1339,8000,3,female,55,no,155,130,9/26/15
1340,20000,6,male,50,no,170,120,9/25/15
1341,10000,1,female,49,no,160,110,9/24/15
1342,50000,10,female,49,yes,154,151,9/23/15
1343,4080,3,female,64,no,160,110,9/26/15
1344,600,1,female,75,no,160,100,9/24/15
1345,30000,6,male,58,no,175,130,9/26/15
1346,4000,4,male,68,used to be,170,112,9/26/15
1347,1680,3,female,75,no,162,120,9/26/15
1348,1000,6,male,85,no,170,100,9/25/15
1349,3500,14,male,62,no,170,125,9/24/15
1350,0,4,female,30,no,165,100,9/25/15
1351,46000,4,male,63,no,175,130,9/24/15
1352,0,4,female,47,no,155,100,9/23/15
1353,65000,3,male,51,no,173,130,9/23/15
1354,600,14,male,62,no,175,115,9/25/15
1355,0,6,female,27,no,172,120,9/25/15
1356,3400,3,male,55,no,165,120,9/24/15
1357,1500,1,male,77,no,167,120,9/25/15
1358,40000,4,male,47,no,171,140,9/24/15
1359,8000,3,female,43,no,165,120,9/26/15
1360,30000,3,female,47,no,154,122,9/24/15
1361,10000,6,male,53,no,180,120,9/26/15
1362,50000,10,male,51,used to be,172,140,9/23/15
1363,14000,3,male,64,no,180,140,9/26/15
1364,35000,4,male,66,no,170,120,9/25/15
1365,27000,4,male,31,no,174,140,9/25/15
1366,6000,6,male,53,no,175,125,9/25/15
1367,36000,3,female,75,yes,150,100,9/26/15
1368,0,1,female,59,no,155,130,9/25/15
1369,30000,4,male,39,no,165,110,9/26/15
1370,15000,1,male,66,no,167,100,9/26/15
1371,40000,6,male,54,no,180,145,9/24/15
1372,20000,1,male,70,no,165,146,9/25/15
1373,12000,1,female,61,no,161,140,9/24/15
1374,40000,4,male,43,no,175,180,9/26/15
1375,0,1,female,75,no,158,90,9/24/15
1376,0,7,female,27,no,163,180,9/24/15
1377,20000,4,male,31,no,180,165,9/26/15
1378,5000,1,female,49,no,163,100,9/26/15
1379,3000,3,male,74,no,170,120,9/25/15
1380,35000,4,male,37,no,166,134,9/24/15
1381,0,4,female,25,no,158,140,9/24/15
1382,40000,4,male,52,no,175,170,9/26/15
1383,50000,4,male,48,no,167,150,9/24/15
1384,2000,3,female,33,no,160,102,9/25/15
1385,3000,1,male,75,no,156,140,9/24/15
1386,20000,3,male,64,no,167,127,9/25/15
1387,50000,10,male,56,used to be,165,125,9/25/15
1388,30000,4,male,37,no,172,115,9/24/15
1389,15000,14,male,44,no,172,120,9/24/15
1390,0,3,female,60,no,160,150,9/26/15
1391,10000,4,male,48,no,162,180,9/25/15
1392,10000,1,male,56,no,167,160,9/24/15
1393,6000,4,female,52,no,160,128,9/26/15
1394,5000,3,female,50,no,160,120,9/24/15
1395,10000,1,female,60,no,155,100,9/26/15
1396,20000,4,female,41,no,160,110,9/24/15
1397,25000,3,male,63,no,168,140,9/25/15
1398,40000,4,male,41,no,166,105,9/26/15
1399,2000,3,female,69,no,155,127,9/24/15
1400,20000,6,male,54,no,174,130,9/25/15
1401,20000,4,male,58,no,171,140,9/25/15
1402,10000,10,male,23,no,180,130,9/25/15
1403,15000,6,male,51,no,169,96,9/24/15
1404,6680,1,female,65,no,156,114,9/25/15
1405,20000,3,female,39,no,160,140,9/26/15
1406,30000,14,female,58,no,156,108,9/24/15
1407,50000,6,male,62,no,170,120,9/26/15
1408,11000,5,male,23,no,180,160,9/25/15
1409,10000,1,female,42,no,165,150,9/25/15
1410,3000,1,male,71,no,167,123,9/26/15
1411,10000,4,male,56,no,155,115,9/26/15
1412,20000,1,male,60,no,170,100,9/26/15
1413,50000,10,male,48,yes,169,150,9/25/15
1414,0,1,female,85,no,150,90,9/26/15
1415,15000,4,male,44,no,174,120,9/26/15
1416,10000,1,female,63,no,160,120,9/26/15
1417,0,3,female,50,no,168,130,9/26/15
1418,0,1,female,83,no,153,114,9/25/15
1419,10000,3,female,39,no,160,105,9/26/15
1420,10000,1,male,59,no,152,130,9/25/15
1421,15000,2,male,63,no,165,100,9/25/15
1422,10000,4,female,54,no,168,120,9/26/15
1423,30000,4,male,61,used to be,175,150,7/21/15
1424,0,3,male,60,yes,170,130,7/29/15
1425,30000,4,male,20,no,175,180,7/18/15
1426,30000,4,male,66,used to be,170,170,8/1/15
1427,0,4,male,61,used to be,160,100,8/2/15
1428,40000,4,female,40,no,159,102,7/19/15
1429,0,12,female,19,no,162,110,8/3/15
1430,15600,3,female,88,used to be,160,90,7/30/15
1431,30000,12,female,34,no,160,125,7/22/15
1432,36000,10,male,23,no,183,120,7/24/15
1433,24000,4,female,43,no,165,135,7/29/15
1434,20000,4,female,66,used to be,158,108,7/28/15
1435,48000,11,male,52,yes,180,160,7/19/15
1436,40000,6,male,26,no,175,160,7/29/15
1437,48000,6,male,52,no,172,130,7/31/15
1438,24000,6,female,37,no,158,115,7/30/15
1439,19200,6,female,52,used to be,160,140,7/23/15
1440,20000,4,female,50,no,175,100,7/29/15
1441,12000,1,female,60,no,150,130,7/23/15
1442,20000,4,male,59,no,170,140,8/1/15
1443,40000,3,male,40,no,180,170,8/3/15
1444,0,6,male,48,no,168,132,8/2/15
1445,40000,6,male,58,no,178,140,7/27/15
1446,60000,10,female,55,yes,166,130,8/1/15
1447,40000,12,male,73,used to be,179,95,7/22/15
1448,40000,10,female,50,yes,156,118,7/19/15
1449,35000,11,male,32,yes,179,140,7/20/15
1450,35000,3,male,36,no,175,130,7/21/15
1451,48000,12,female,33,no,165,100,8/1/15
1452,3600,3,female,63,no,165,105,7/29/15
1453,30000,3,male,44,no,170,160,7/28/15
1454,0,7,female,32,yes,165,99,7/23/15
1455,24000,7,female,20,no,162,100,7/22/15
1456,30000,4,male,43,no,168,72,7/28/15
1457,31200,3,male,74,no,175,140,7/23/15
1458,36000,12,female,85,used to be,155,120,8/4/15
1459,10000,4,female,50,no,160,100,7/24/15
1460,20000,12,male,29,yes,183,150,7/24/15
1461,12000,6,male,70,no,160,135,7/22/15
1462,24000,10,female,71,no,162,120,8/2/15
1463,24000,10,male,53,no,170,105,8/1/15
1464,50000,6,male,45,yes,173,190,7/19/15
1465,30000,7,male,27,no,174,130,7/24/15
1466,20000,4,female,62,used to be,165,180,7/27/15
1467,20400,3,female,70,no,155,140,7/19/15
1468,25000,7,male,38,no,178,160,7/22/15
1469,18000,1,female,83,used to be,157,108,7/30/15
1470,24000,6,female,52,used to be,163,140,7/31/15
1471,20000,9,female,47,no,158,112,7/19/15
1472,48000,12,male,32,no,182,160,8/5/15
1473,21000,4,female,57,used to be,160,130,7/19/15
1474,0,12,female,20,no,162,125,8/3/15
1475,10800,6,female,68,no,159,100,7/24/15
1476,10000,4,female,44,no,170,134,7/28/15
1477,60000,7,female,45,no,159,94,7/20/15
1478,35000,4,female,30,no,165,110,7/28/15
1479,12000,4,female,50,no,160,130,7/28/15
1480,120000,4,male,82,no,170,65,8/2/15
1481,48000,4,male,25,no,178,178,8/3/15
1482,120000,12,male,26,no,177,170,8/3/15
1483,20000,11,female,24,no,165,102,8/2/15
1484,48000,11,female,43,yes,154,96,7/28/15
1485,10000,3,male,46,no,168,140,7/23/15
1486,20000,4,male,46,no,172,180,7/23/15
1487,48000,12,male,40,no,176,150,8/3/15
1488,30000,9,female,42,yes,164,110,7/19/15
1489,18000,1,female,64,no,155,120,7/18/15
1490,20000,3,male,48,used to be,170,120,7/22/15
1491,36000,12,female,37,no,174,140,8/2/15
1492,22000,4,female,58,no,158,95,8/3/15
1493,60000,12,male,54,no,170,160,7/22/15
1494,17000,3,female,74,no,155,138,8/2/15
1495,0,6,female,39,no,165,130,7/24/15
1496,30000,4,male,46,yes,168,130,7/24/15
1497,1.00E+06,4,male,46,no,170,140,7/19/15
1498,25000,4,male,64,no,165,130,7/25/15
1499,80000,6,male,42,no,164,120,8/1/15
1500,21600,6,female,49,used to be,168,170,7/24/15
1501,36000,12,male,38,no,173,156,7/19/15
1502,20000,6,female,48,no,160,110,7/22/15
1503,0,10,male,57,used to be,175,179,8/1/15
1504,0,4,female,30,no,165,155,7/22/15
1505,108000,6,male,38,no,180,150,7/28/15
1506,40000,12,male,29,yes,184,200,7/22/15
1507,2000,4,female,49,no,158,150,7/25/15
1508,29000,10,female,70,no,160,85,8/3/15
1509,0,4,female,59,no,163,120,7/19/15
1510,36000,12,female,46,no,158,110,8/4/15
1511,25200,3,female,67,used to be,156,120,8/2/15
1512,120000,4,male,44,no,172,110,7/19/15
1513,31200,13,female,32,no,165,105,8/3/15
1514,36000,6,male,73,no,165,130,8/3/15
1515,20000,4,female,56,no,160,115,7/22/15
1516,20000,6,female,51,no,165,120,8/3/15
1517,14400,4,female,42,no,165,110,8/4/15
1518,6000,3,female,52,no,160,120,7/18/15
1519,840,3,male,67,no,170,146,8/1/15
1520,10000,4,female,59,no,158,112,7/19/15
1521,21000,4,male,66,used to be,173,130,8/6/15
1522,50000,6,male,52,no,175,130,8/2/15
1523,12600,3,male,67,no,163,110,7/24/15
1524,17500,4,female,41,no,160,128,7/19/15
1525,80000,11,male,42,yes,178,160,7/19/15
1526,0,12,female,21,no,161,120,8/3/15
1527,0,4,female,24,no,159,170,7/18/15
1528,8400,4,male,61,no,168,140,8/3/15
1529,24000,9,male,28,yes,174,140,8/2/15
1530,35000,3,male,83,used to be,161,120,7/19/15
1531,20000,10,female,42,no,160,102,8/2/15
1532,24000,1,female,66,used to be,163,110,8/3/15
1533,3000,12,male,23,no,170,130,7/22/15
1534,45000,6,male,66,used to be,165,138,7/23/15
1535,50000,7,male,41,no,170,140,7/31/15
1536,40000,13,male,35,yes,174,160,7/28/15
1537,40000,13,female,48,yes,158,120,7/22/15
1538,0,6,male,18,no,162,100,7/22/15
1539,25000,3,male,47,no,182,180,7/29/15
1540,36000,9,male,38,yes,175,180,7/25/15
1541,24000,1,female,84,no,150,110,8/4/15
1542,12000,3,female,78,used to be,162,120,7/30/15
1543,0,12,male,25,no,170,110,8/3/15
1544,10000,4,female,38,no,160,125,7/25/15
1545,30000,12,female,42,no,160,140,7/24/15
1546,30000,12,female,42,yes,165,130,7/28/15
1547,35000,7,female,72,used to be,155,120,8/1/15
1548,10000,1,female,73,no,155,95,7/30/15
1549,10000,4,female,43,yes,160,110,7/25/15
1550,58200,9,female,52,yes,160,105,8/4/15
1551,20000,4,male,62,no,165,110,7/18/15
1552,20000,6,female,40,no,165,110,8/2/15
1553,40000,4,male,38,no,173,150,8/5/15
1554,30000,4,male,42,no,173,150,7/30/15
1555,5000,13,male,25,no,178,135,7/24/15
1556,60000,7,male,60,no,175,180,7/19/15
1557,50000,12,male,28,no,176,136,7/29/15
1558,30000,3,female,41,no,160,110,7/25/15
1559,20000,4,female,57,no,154,120,8/2/15
1560,26400,6,female,22,no,160,100,8/6/15
1561,14000,12,male,21,no,180,140,8/2/15
1562,0,13,female,27,yes,160,92,8/3/15
1563,22000,7,male,75,used to be,170,162,7/22/15
1564,16800,4,male,51,no,178,140,7/23/15
1565,30000,12,female,40,no,162,120,7/21/15
1566,20000,3,male,73,used to be,165,140,7/30/15
1567,24000,4,female,63,used to be,160,150,7/29/15
1568,16800,3,female,65,no,165,170,8/1/15
1569,35000,12,female,42,yes,157,130,7/21/15
1570,40000,12,male,29,yes,177,140,7/19/15
1571,60000,4,male,49,no,164,140,8/4/15
1572,12000,3,female,70,no,158,108,7/24/15
1573,40000,4,male,25,no,170,160,7/25/15
1574,14000,9,female,44,yes,165,140,8/3/15
1575,40000,5,male,32,no,171,170,7/22/15
1576,20000,4,male,54,no,178,150,7/30/15
1577,50000,9,male,50,yes,174,155,7/25/15
1578,20000,6,male,65,used to be,171,128,8/4/15
1579,8000,4,female,55,no,162,130,7/28/15
1580,0,12,female,23,no,163,110,8/2/15
1581,36000,12,male,29,no,175,160,8/1/15
1582,30000,12,female,24,no,165,130,7/20/15
1583,32000,12,male,76,used to be,178,150,7/23/15
1584,5000,6,male,53,no,172,150,7/28/15
1585,10000,1,male,70,used to be,160,90,7/18/15
1586,40000,4,male,49,no,172,160,7/23/15
1587,25000,10,female,23,no,158,120,7/21/15
1588,660,4,female,66,no,158,120,7/30/15
1589,15000,3,female,48,no,148,148,7/18/15
1590,2550,3,female,63,no,158,120,7/29/15
1591,40000,11,male,64,used to be,174,140,7/21/15
1592,24000,3,male,73,no,173,150,7/23/15
1593,35000,6,male,52,no,175,160,8/2/15
1594,12000,4,female,52,no,170,132,7/30/15
1595,12000,13,male,27,no,180,136,8/2/15
1596,20000,4,female,65,used to be,160,110,7/28/15
1597,40000,4,male,55,yes,170,130,7/28/15
1598,20000,6,male,35,no,180,143,7/25/15
1599,0,1,male,86,no,171,110,7/24/15
1600,20000,4,female,56,no,158,100,7/19/15
1601,31000,7,male,72,used to be,175,190,8/5/15
1602,12000,3,female,68,no,170,130,7/24/15
1603,0,7,female,20,no,160,102,7/19/15
1604,25000,4,male,43,yes,183,170,7/25/15
1605,3000,3,male,43,no,160,110,7/18/15
1606,0,1,female,65,no,153,90,7/28/15
1607,50000,10,male,49,no,158,132,7/21/15
1608,22000,6,female,55,used to be,162,90,8/4/15
1609,0,3,male,70,no,175,140,7/25/15
1610,0,10,male,30,yes,165,100,7/22/15
1611,20000,6,male,48,used to be,174,190,7/22/15
1612,10000,3,male,40,no,174,186,7/21/15
1613,30000,12,male,25,no,172,130,8/2/15
1614,42000,6,male,62,yes,150,130,7/23/15
1615,1700,3,female,40,no,155,110,7/30/15
1616,20000,4,female,82,no,156,120,7/22/15
1617,30000,12,female,42,yes,160,100,7/20/15
1618,0,4,female,51,no,170,130,8/2/15
1619,16800,3,female,73,no,156,116,8/4/15
1620,0,7,female,36,no,156,113,7/25/15
1621,10000,6,female,51,no,168,110,7/23/15
1622,12000,4,female,56,yes,165,150,7/23/15
1623,30000,4,male,37,no,170,160,7/29/15
1624,4000,3,male,51,no,170,130,7/18/15
1625,96000,10,male,27,no,184,170,8/2/15
1626,40000,4,male,22,no,168,146,7/28/15
1627,12000,3,male,65,no,155,95,7/28/15
1628,20000,7,male,74,no,172,140,7/21/15
1629,10000,4,female,42,no,165,110,7/28/15
1630,50000,4,male,49,no,170,140,7/26/15
1631,0,4,female,33,no,160,120,8/2/15
1632,30000,7,female,30,no,165,96,7/29/15
1633,18000,4,female,47,no,168,136,7/25/15
1634,24000,9,male,37,no,162,120,7/25/15
1635,0,11,female,22,no,170,134,7/28/15
1636,32400,4,male,81,no,173,110,7/23/15
1637,10000,3,female,70,no,160,80,8/4/15
1638,30000,9,male,67,used to be,170,140,7/23/15
1639,20000,3,female,63,used to be,168,145,7/29/15
1640,20000,3,male,55,no,164,130,7/30/15
1641,60000,3,female,29,no,165,100,7/23/15
1642,14000,4,female,70,no,156,120,7/30/15
1643,0,4,female,50,no,160,108,7/23/15
1644,20000,3,male,55,no,169,120,7/23/15
1645,40000,6,male,45,no,165,148,7/19/15
1646,24000,4,female,56,no,163,140,7/25/15
1647,31000,4,male,83,used to be,176,150,7/23/15
1648,25000,9,female,32,yes,160,100,7/25/15
1649,50000,6,female,40,no,165,110,8/5/15
1650,18000,6,female,53,no,162,110,7/23/15
1651,60000,10,male,38,used to be,174,144,8/4/15
1652,48000,4,male,21,no,162,125,7/25/15
1653,31000,7,male,44,no,180,140,8/4/15
1654,0,13,female,24,no,158,100,7/30/15
1655,50000,7,female,33,no,157,100,7/29/15
1656,10000,4,female,54,no,160,102,8/4/15
1657,0,6,female,49,no,167,135,7/22/15
1658,23000,7,female,75,no,152,120,7/25/15
1659,30000,12,female,28,no,165,110,7/19/15
1660,90000,6,female,36,no,165,100,8/3/15
