M,C,minority_run,minority_win,white_run,state,state.lower,year,phase,sl_chamber,sl_district,group,white_pct,unusual,south,deepsouth,rimsouth,section5,litigated,proper
4.04226921681439,51.84551568981271,0,0,1,MO,mo,2012,2,8,13,Black,44.8235726059072,0,0,0,0,0,0,1
0,10.532392136165699,0,0,1,MO,mo,2012,3,9,147,Black,83.810529093548,0,0,0,0,0,0,1
0,12.409181275980501,0,0,1,MO,mo,2012,1,9,148,Black,84.99186697993851,0,0,0,0,0,0,1
17.377832861189802,20.5068870523416,0,0,1,MO,mo,2012,1,9,149,Black,77.0762167125803,0,0,0,0,0,0,1
15.257212639291708,11.2676056338028,0,0,1,MO,mo,2012,3,9,35,Black,81.934784887988,0,0,0,0,0,0,1
19.866581376222243,11.9876128001066,0,0,1,MO,mo,2012,5,9,45,Black,77.0670307349073,0,0,0,0,0,0,1
20.0778701462696,72.5778257150296,1,1,0,MO,mo,2012,1,9,66,Black,25.365418231859298,1,0,0,0,0,0,1
8.977719528178248,65.1558172958951,1,1,0,MO,mo,2012,2,9,67,Black,31.720825884249997,1,0,0,0,0,0,1
0,30.253013356499096,0,0,1,MO,mo,2012,2,9,68,Black,66.1381981395012,0,0,0,0,0,0,1
100,23.0106527489812,0,0,1,MO,mo,2012,2,9,69,Black,72.10266676199329,0,0,0,0,0,0,1
74.48670006350102,59.6943295924395,1,1,0,MO,mo,2012,2,9,74,Black,37.0348493797992,0,0,0,0,0,0,1
18.72037914691943,85.26048284625159,1,1,0,MO,mo,2012,1,9,75,Black,12.691531504596801,1,0,0,0,0,0,1
0,95.7803634274223,1,1,0,MO,mo,2012,1,9,76,Black,2.14034331681391,1,0,0,0,0,0,1
18.733929227378475,55.9629985743178,1,1,0,MO,mo,2012,5,9,77,Black,33.738934385464695,1,0,0,0,0,0,1
23.66325369738339,58.2246792531553,1,1,0,MO,mo,2012,3,9,85,Black,35.5307534508536,1,0,0,0,0,0,1
23.62622291304745,18.6237284957577,0,0,1,NC,nc,2012,2,9,1,Black,77.14183034109911,0,1,0,1,1,0,1
15.0876109176682,14.9981892493145,1,0,1,NC,nc,2012,2,9,110,Black,80.78534844016761,0,1,0,1,1,0,1
34.88169703562687,16.006546644844498,0,0,1,NC,nc,2012,2,9,111,Black,80.1826169351365,0,1,0,1,1,0,1
17.407801247039487,10.0014593569101,0,0,1,NC,nc,2012,2,9,112,Black,85.7566765578635,0,1,0,1,0,0,1
60.207745575788664,49.9930834140268,1,1,1,NC,nc,2012,4,9,12,Black,42.3969428689999,0,1,0,1,1,1,1
15.056542810985462,14.2661162667991,0,0,1,NC,nc,2012,6,8,16,Black,67.00083801483599,0,1,0,1,0,0,1
23.564009510699535,26.4146719751843,0,0,1,NC,nc,2012,5,9,22,Black,59.74640635742951,0,1,0,1,1,0,1
23.308953900709216,51.4325510584196,0,0,1,NC,nc,2012,2,9,23,Black,44.8488087718446,0,1,0,1,1,0,1
21.1926755497425,15.660698639422,0,0,1,NC,nc,2012,4,9,25,Black,76.2502273140571,0,1,0,1,1,0,1
0,14.8557020682136,0,0,1,NC,nc,2012,3,8,26,Black,78.6779788067737,0,1,0,1,1,0,1
18.641582357621918,52.009117181342404,0,0,1,NC,nc,2012,2,8,3,Black,44.4086258192327,0,1,0,1,1,0,1
75.4969280809541,50.7371329637467,1,1,0,NC,nc,2012,6,9,31,Black,29.8945453909515,0,1,0,1,0,1,1
0,13.9226092573232,0,0,1,NC,nc,2012,4,8,34,Black,78.2564109393832,0,1,0,1,0,0,1
22.912517780938835,16.282664703717302,0,0,1,NC,nc,2012,5,9,34,Black,70.4924549135075,0,1,0,1,0,0,1
21.262407626043988,16.8711656441718,0,0,1,NC,nc,2012,5,9,35,Black,72.1409940854487,0,1,0,1,0,0,1
84.33684596726525,51.3854978673334,1,1,1,NC,nc,2012,6,8,38,Black,32.898955728783605,0,1,0,1,0,1,1
100,50.5395302912758,1,1,1,NC,nc,2012,6,9,42,Black,32.8320050779322,0,1,0,1,1,1,1
0,13.241749197552899,0,0,1,NC,nc,2012,3,8,46,Black,80.935365284903,0,1,0,1,0,0,1
74.80138835325877,50.6498570314531,1,1,0,NC,nc,2012,6,9,48,Black,31.794255263841997,0,1,0,1,1,1,1
58.99337880221039,53.5359511724224,1,1,0,NC,nc,2012,2,9,5,Black,42.1340267181515,0,1,0,1,1,1,1
21.91302936881389,12.7987614101861,1,1,1,NC,nc,2012,5,9,50,Black,75.2636841595975,0,1,0,1,1,0,1
0,12.612776664956,0,0,1,NC,nc,2012,3,9,52,Black,80.4078997467181,0,1,0,1,0,0,1
22.15520392709802,49.5921641475977,0,0,1,NC,nc,2012,5,9,57,Black,38.924259055982404,0,1,0,1,0,1,1
23.67700931279516,13.1391394810801,0,0,1,NC,nc,2012,3,9,59,Black,81.2431097930221,0,1,0,1,1,0,1
22.89742343218279,18.705262055239398,0,0,1,NC,nc,2012,5,9,63,Black,69.97451028318031,0,1,0,1,0,0,1
12.294252266525838,11.4363480830547,0,0,1,NC,nc,2012,3,9,67,Black,81.6175441325142,0,1,0,1,0,0,1
100,44.4323124878925,1,1,1,NC,nc,2012,6,9,71,Black,35.9597062501101,0,1,0,1,0,0,1
15.338384639796892,10.2657710280374,0,0,1,NC,nc,2012,4,9,74,Black,82.3192497403946,0,1,0,1,0,0,1
49.99859834043507,13.554748489579799,0,0,1,NC,nc,2012,4,9,84,Black,78.4349331342068,0,1,0,1,0,0,1
24.626095925734916,18.271882494004803,0,0,1,NC,nc,2012,4,9,9,Black,74.7107314148681,0,1,0,1,1,0,1
12.30866156430838,12.7906619094488,0,0,1,NC,nc,2012,2,9,91,Black,82.8709399606299,0,1,0,1,1,0,1
23.55963693367653,21.7540791968329,0,0,1,NY,ny,2012,5,9,108,Black,68.0324567521636,0,0,0,0,0,0,1
12.820632403693686,10.6315862109756,0,0,1,NY,ny,2012,5,9,149,Black,75.2097236871938,0,0,0,0,0,0,1
3.789929615592854,66.23398951259351,0,0,1,NY,ny,2012,6,9,42,Black,15.5301727843205,0,0,0,0,1,0,1
97.54434861210501,53.4821808536959,1,1,0,NY,ny,2012,6,9,57,Black,27.186445374741403,0,0,0,0,1,0,1
100,90.7180202887079,1,1,0,NY,ny,2012,3,9,58,Black,2.6121190659695497,0,0,0,0,1,0,1
17.102691658523582,11.1783548462899,0,0,1,NY,ny,2012,6,8,9,Black,69.5721182188838,0,0,0,0,0,0,1
80.96252793513851,60.9333648393195,1,1,0,OH,oh,2012,2,9,11,Black,34.6963610586011,0,0,0,0,0,0,1
100,57.766638756251595,1,1,0,OH,oh,2012,2,9,12,Black,37.663219353232705,0,0,0,0,0,0,1
24.22802370022851,20.4882478632479,0,0,1,OH,oh,2012,5,9,22,Black,65.9754273504274,0,0,0,0,0,0,1
80.4218462784684,52.7170101199025,1,1,1,OH,oh,2012,4,9,26,Black,39.7771172194204,0,0,0,0,0,0,1
15.819808888214773,17.6201638198206,0,0,1,OH,oh,2012,2,8,28,Black,77.8626410805678,0,0,0,0,0,0,1
19.973529201345002,10.6338144232807,0,0,1,OH,oh,2012,2,9,29,Black,85.50373178254421,0,0,0,0,0,0,1
72.88713811821472,50.726582952478104,1,1,1,OH,oh,2012,2,9,32,Black,44.4679859786129,0,0,0,0,0,0,1
72.25688013776522,50.6288934328784,1,1,1,OH,oh,2012,2,9,33,Black,44.851157924770604,0,0,0,0,0,0,1
26.981962678717522,12.2337557293071,0,0,1,OH,oh,2012,2,9,35,Black,82.9086905724813,0,0,0,0,0,0,1
80.87139845397049,51.1296626043521,1,1,1,OH,oh,2012,2,9,39,Black,43.963184792914504,0,0,0,0,0,0,1
13.837638376383765,11.069900848107201,0,0,1,OH,oh,2012,2,9,4,Black,85.0369656059145,0,0,0,0,0,0,1
