NOLA,year,run,win,M_raw,M,C,incumb_ran,unopposed,city_type,city_council,woman_run,woman_win,num_black_cand,M_t2,M_t3,educ_baplus_black,educ_baplus_white,new_electiontime,white_over65,density
0,2006,1,0,-22.216463088989258,27.783536911010742,56.249656677246094,0,0,Urban,Mixed,1,0,4,16.24903106689453,29.49720001220703,8.695096015930176,33.454280853271484,1,4153.60009765625,1709.7362060546875
0,2010,1,0,-37.84457015991211,12.15542984008789,57.251220703125,1,0,Urban,Mixed,1,0,4,27.783536911010742,16.24903106689453,8.764820098876953,35.86116409301758,0,3916,1679.822998046875
0,2014,1,0,-20.41164779663086,29.58835220336914,57.251220703125,1,0,Urban,Mixed,1,0,3,12.15542984008789,27.783536911010742,9.809329986572266,32.96703338623047,1,3916,1679.822998046875
0,1992,1,0,-8.712923049926758,41.28707695007324,47.94758987426758,1,0,Rural,District,1,0,1,NA,NA,9.66986083984375,19.66996192932129,1,400,1350.8839111328125
0,1996,1,0,-26.881467819213867,23.118532180786133,49.88620376586914,1,0,Rural,District,1,0,2,41.28707695007324,NA,7.615121364593506,22.297555923461914,1,392,1208.532470703125
0,2000,1,0,-23.366283416748047,26.633716583251953,51.8248176574707,1,0,Rural,District,1,0,1,23.118532180786133,41.28707695007324,5.56038236618042,24.92514991760254,1,384,1066.1810302734375
0,2004,1,0,-25.876981735229492,24.123018264770508,52.89638900756836,1,1,Rural,District,1,0,3,26.633716583251953,23.118532180786133,10.144740104675293,27.78074073791504,1,361.6000061035156,1068.1597900390625
0,2008,0,0,-50,0,53.96795654296875,1,0,Rural,District,1,0,0,24.123018264770508,26.633716583251953,14.729097366333008,30.636333465576172,1,339.20001220703125,1070.138671875
0,2012,1,0,-29.341318130493164,20.658681869506836,53.96795654296875,0,0,Rural,District,1,0,2,0,24.123018264770508,20.416921615600586,37.19563293457031,0,328,1071.1280517578125
0,1992,0,0,-34.68468475341797,15.315315246582031,0.02309468761086464,0,0,Rural,AtLarge,0,0,0,NA,NA,0,16.13712501525879,1,93,269.2734069824219
0,1996,0,0,-29.310344696044922,20.689655303955078,0.06928406655788422,1,1,Rural,AtLarge,0,0,0,15.315315246582031,NA,0,19.023618698120117,1,105,274.8635559082031
0,2000,0,0,-50,0,0.1154734417796135,1,0,Rural,AtLarge,1,0,0,20.689655303955078,15.315315246582031,0,21.910112380981445,0,117,280.4537048339844
0,2004,0,0,-25.810474395751953,24.189525604248047,0.805762767791748,1,1,Rural,AtLarge,1,0,0,0,20.689655303955078,0,22.786130905151367,0,117.4000015258789,281.0291748046875
0,2008,0,0,-50,0,1.4960521459579468,1,1,Rural,AtLarge,1,0,0,24.189525604248047,0,0,23.662147521972656,1,117.80000305175781,281.6046447753906
0,2012,0,0,-50,0,1.4960521459579468,0,0,Rural,AtLarge,1,0,0,0,24.189525604248047,50,25.72298240661621,1,118,281.89239501953125
0,1992,0,0,-50,0,9.627659797668457,1,1,Rural,AtLarge,0,0,0,NA,NA,0,16.49880027770996,1,37.400001525878906,154.9275360107422
0,1996,0,0,-50,0,13.56382942199707,0,1,Rural,AtLarge,0,0,0,0,NA,0,16.163068771362305,1,36.20000076293945,156.21621704101562
0,2000,0,0,-50,0,17.5,1,1,Rural,AtLarge,0,0,0,0,0,0,15.827338218688965,0,35,157.50489807128906
0,2004,0,0,-50,0,20.858566284179688,1,1,Rural,AtLarge,0,0,0,0,0,0,18.246402740478516,0,34.20000076293945,160.05645751953125
0,2008,0,0,-50,0,24.217130661010742,1,1,Rural,AtLarge,0,0,0,0,0,0,20.665468215942383,1,33.400001525878906,162.60801696777344
